sku,nombre,marca,modelo,categoria,subcategoria
BAC1PC1A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x1A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC2A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x2A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC3A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x3A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC6A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x6A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC10A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x10A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC16A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x16A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC20A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x20A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC25A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x25A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC32A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x32A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC32A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x32A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC40A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x40A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC50A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x50A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC1PC63A-CH,Breaker Termomagnetico AC - NXB-63-1P - Curva C - 1x63A,CHiNT,NXB-63-1P,Breaker Termomagnetico,AC
BAC2PC1A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x1A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC2A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x2A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC3A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x3A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC6A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x6A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC10A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x10A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC16A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x16A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC20A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x20A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC25A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x25A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC32A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x32A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC32A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x32A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC40A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x40A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC50A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x50A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC63A-CH,Breaker Termomagnetico AC - NXB-63-2P - Curva C - 2x63A,CHiNT,NXB-63-2P,Breaker Termomagnetico,AC
BAC2PC80A-CH,Breaker Termomagnetico AC - NXB-125-2P - Curva C - 2x80A,CHiNT,NXB-125-2P,Breaker Termomagnetico,AC
BAC2PC100A-CH,Breaker Termomagnetico AC - NXB-125-2P - Curva C - 2x100A,CHiNT,NXB-125-2P,Breaker Termomagnetico,AC
BAC2PC125A-CH,Breaker Termomagnetico AC - NXB-125-2P - Curva C - 2x125A,CHiNT,NXB-125-2P,Breaker Termomagnetico,AC
BAC3PC1A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x1A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC2A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x2A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC3A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x3A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC6A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x6A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC10A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x10A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC16A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x16A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC20A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x20A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC25A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x25A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
BAC3PC32A-CH,Breaker Termomagnetico AC - NXB-63-3P - Curva C - 3x32A,CHiNT,NXB-63-3P,Breaker Termomagnetico,AC
